[MM] === BTC 15-min Market Maker ===
[MM] UTC: 2026-03-30 07:53:14.398396+00:00
[MM] size=5.0  cancel=5s  poll=1.0s
[MM] Balance: $0.96
[MM] Balance $0.96 < $5.50, waiting for settlements...
[MM] discovery btc-updown-15m-1774857600: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out.
[MM] next: Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET in 1263s, sleeping 363s

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET
[MM] start=2026-03-30T08:15:00+00:00  deadline=2026-03-30T08:14:55+00:00
[MM] up=4352110618492235...  dn=3182013476469627...
[MM] Available balance: $15.96
[UP] BUY 5sh @ 0.49  oid=0xbe2d71a18447990262e1db5eafbfe739b07ba32df4dccf65e35b04f710d9e96e
[DN] BUY 5sh @ 0.50  oid=0x53e37d7afb3202e0e3d4617311d6a1d41d83d966126b31685bb1c69b1baf84fb
[MM] bb=0.49 ba=0.50 sp=0.01 | UP=0.49 DN=0.5(=0.5) | 892s
[MM] UP DONE 5.0@0.49
[DN] cancelled 0x53e37d7afb3202...
[DN] BUY 5sh @ 0.52  oid=0x9dc9c50e84a94c2f0752f9bcb79ca4543bcf5d3762c3fe09b695e80959adbcb0
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.52(=0.48) | 890s
[DN] cancelled 0x9dc9c50e84a94c...
[DN] BUY 5sh @ 0.51  oid=0x571a0392c0dd9486e2e57d3b69470ec7f64e8680cacb3fd909b7721615aa24dc
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.51(=0.49) | 882s
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.51(=0.49) | 880s
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.51(=0.49) | 871s
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.51(=0.49) | 870s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 862s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 860s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 852s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 850s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 841s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 840s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 831s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 830s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 821s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 811s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 801s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 792s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 791s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 782s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 781s
[MM] book error: PolyApiException[status_code=None, error_message=Request exception!]
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 762s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 760s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 752s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 750s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 741s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 740s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 731s
[MM] bb=0.46 ba=0.47 sp=0.01 | UP=DONE DN=0.51(=0.49) | 730s
[MM] book error: PolyApiException[status_code=None, error_message=Request exception!]
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 711s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 701s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 691s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 681s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 672s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 671s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 662s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 661s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 652s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 651s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 642s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 641s
