[MM] === BTC 15-min Spread Scalper ===
[MM] UTC: 2026-03-30 09:46:13.871478+00:00
[MM] size=5.0  sell_deadline=+3s  poll=1.0s
[MM] Balance: $14.75

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 6:00AM-6:15AM ET
[MM] start=2026-03-30T10:00:00+00:00  sell_deadline=+3s
[MM] token=72395383324262677983...
[MM] Balance: $14.75
[MM] --- Round 1 ---
[BUY] BUY 5sh @ 0.51  oid=0xe8f600f11d9b49afd432157407beedaf49deeed80c8514c311c13f577c579416
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 821s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 811s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 801s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 791s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 782s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 781s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 772s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 770s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 762s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 760s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 751s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 750s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 741s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 731s to start
[MM] bb=0.51 ba=0.52 sp=0.01 | BUY@0.51 | 721s to start
[MM] BUY FILLED @ 0.51
[SELL] SELL 5sh @ 0.51  oid=0xc8609fe64be98a741797d7ec63fdaf63778df446c91af39190613ce2a7b6be70
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 721.0s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 719.7s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 718.4s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 717.1s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 715.8s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 714.6s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 713.3s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 712.1s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 710.8s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 709.5s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 708.3s left
[MM] bb=0.50 ba=0.51 | SELL@0.51 bought@0.51 | 707.0s left
