[MM] === BTC 15-min Spread Scalper ===
[MM] UTC: 2026-03-30 15:15:49.604288+00:00
[MM] size=6.0  sell_deadline=+0s  poll=1.0s
[MM] Balance: $10.64
[MM] Streak: 0x NONE → enter 600s before start
[MM] next: Bitcoin Up or Down - March 30, 11:30AM-11:45AM ET in 848s, waiting 248s
[MM] Streak: 1x DN → enter 600s before start

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 11:30AM-11:45AM ET
[MM] start=2026-03-30T15:30:00+00:00  sell_deadline=+0s
[MM] Side: DN (bid depth DN=1858 vs UP=1306)
[MM] Trading DN token=61015924722767751924...
[MM] Balance: $10.64
[MM] --- Round 1 (DN) ---
[MM] Side: DN (bid depth DN=1858 vs UP=1306)
[BUY] BUY 6sh @ 0.49  oid=0x9798ce54aca07c104da62615b15ee3ba5e9a1e466fbab700352b64490c3125a3
[MM] Side: DN (bid depth DN=1839 vs UP=1306)
[MM] BUY FILLED @ 0.49
[MM] Waiting for settlement... bal=0.00 (30s left)
[MM] Waiting for settlement... bal=0.00 (28s left)
[MM] Token balance settled: 6.00 shares
[SELL] SELL 6sh @ 0.50  oid=0x4dccffca9e3988fc6d34945a6f03bf7776e6b2eeed0f467fafde2b91419da070
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 589.1s left
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 587.8s left
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 586.5s left
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 585.3s left
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 584.0s left
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 582.7s left
[MM] bb=0.46 ba=0.48 | SELL@0.5 bought@0.49 | 581.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 580.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 578.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 577.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 576.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 575.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 573.8s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 572.5s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 571.3s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 570.0s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 568.7s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 567.5s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 566.2s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 564.9s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 563.7s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 562.4s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 561.2s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 559.9s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 558.6s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 557.4s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 556.1s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 554.8s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 553.5s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 552.3s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 551.0s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 549.8s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 548.5s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 547.2s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 546.0s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 544.7s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 543.4s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 542.2s left
[MM] bb=0.47 ba=0.49 | SELL@0.5 bought@0.49 | 540.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 539.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 538.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 537.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 535.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 534.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 533.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 532.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 530.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 529.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 528.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 527.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 525.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 524.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 523.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 521.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 520.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 519.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 518.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 516.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 515.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 514.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 513.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 511.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 510.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 509.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 507.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 506.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 505.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 504.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 502.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 501.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 500.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 499.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.5 bought@0.49 | 497.8s left
