[MM] Killing old instance PID 48568
[MM] === BTC 15-min Spread Scalper ===
[MM] UTC: 2026-03-30 17:53:54.858430+00:00
[MM] size=6.0  sell_deadline=+0s  poll=1.0s
[MM] Balance: $10.03
[MM] Streak: 1x UP → enter 600s before start

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 2:00PM-2:15PM ET
[MM] start=2026-03-30T18:00:00+00:00  sell_deadline=+0s
[MM] Side: DN (bid depth DN=3679 vs UP=1601)
[MM] Trading DN token=85823410280621723313...
[MM] Balance: $10.03
[ORPHAN] Cancelling 1 open orders for token
[MM] --- Round 1 (DN) EXISTING POSITION: 6.00sh, est buy@0.46 ---
[SELL] SELL 6sh @ 0.47  oid=0xb3ce257ee51242908939a12679697c54407c91e3071b0303c600857cf43c79d3
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 359.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 357.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 356.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 355.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 353.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 352.2s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 350.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 349.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 347.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 346.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 345.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 343.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 342.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 340.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 339.2s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 337.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 336.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 334.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 333.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 324.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 323.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 321.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 320.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 319.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 317.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 316.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 314.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 313.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 311.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 310.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 309.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 307.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 306.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 304.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 303.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 301.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 300.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 299.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 297.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 296.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 294.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 293.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 291.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 290.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 289.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 287.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 286.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 284.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 283.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 281.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 280.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 279.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 277.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 276.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 274.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 273.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 271.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 270.2s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 268.8s left
[BOOK] retry 1/2: PolyApiException[status_code=None, error_message=Request exception!]
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 265.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 257.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 255.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 254.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 253.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 251.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 250.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 248.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 247.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 244.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 238.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 236.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 235.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 233.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 232.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 230.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 228.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 227.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 226.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 224.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 223.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 221.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 219.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 218.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 216.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 211.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 210.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 208.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 207.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 205.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 204.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 201.6s left
[BAL] retry 1/2: PolyApiException[status_code=None, error_message=Request exception!]
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 200.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 191.2s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 189.2s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 187.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 185.7s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 183.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 182.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 180.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 179.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 177.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 175.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 173.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 171.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 170.3s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 168.8s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 167.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 165.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 163.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 161.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 160.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 158.5s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 157.0s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 155.4s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 153.9s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 152.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 150.6s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 149.1s left
[MM] bb=0.45 ba=0.46 | SELL@0.47 bought@0.46 | bal=6.00 | 147.3s left
