[MM] Killing old instance PID 77717
[MM] === BTC 15-min Spread Scalper ===
[MM] UTC: 2026-03-31 02:34:40.676132+00:00
[MM] size=6.0  sell_deadline=+0s  poll=1.0s
[MM] Balance: $20.53
[MM] --- main loop #1 @ 02:34:41 UTC ---
[MM] Streak: 1x UP → enter 600s before start
[MM] next: Bitcoin Up or Down - March 30, 10:45PM-11:00PM ET in 618s, waiting 18s
[MM] --- main loop #2 @ 02:35:00 UTC ---
[MM] Streak: 1x UP → enter 600s before start

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 10:45PM-11:00PM ET
[MM] start=2026-03-31T02:45:00+00:00  sell_deadline=+0s
[MM] Side: UP (bid depth UP=3551 vs DN=698)
[MM] Trading UP token=11070995530895493873...
[MM] Balance: $20.53
[MM] --- Round 1 (UP) ---
[BUY] BUY 6sh @ 0.47  oid=0x100b951942d357d728d3a705588dbb2d5d83a7f3f562d0624b3b89e4eb9fba51
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 592s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 590s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 581s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 572s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 570s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 561s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 552s to start
[MM] bb=0.47 ba=0.48 sp=0.01 | BUY@0.47 | bal=0.00 | 550s to start
[MM] BUY reported filled @ 0.47, waiting for settlement...
[MM] Settlement confirmed: 6.00sh
[SELL] SELL 6sh @ 0.48  oid=0x697cc2dafbec1b947654b5fb858aae5d8050427e625cb8d2e556bd3240341795
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 540.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 539.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 537.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 536.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 534.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 533.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 532.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 530.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 529.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 527.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 526.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 525.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 523.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 522.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 521.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 519.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 518.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 516.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 515.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 514.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 512.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 511.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 509.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 508.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 507.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 505.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 504.3s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 502.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 501.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 500.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 498.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 497.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 496.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 494.6s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 493.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 491.8s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 490.4s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 489.0s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 487.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 486.2s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 484.9s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 483.5s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 482.1s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 480.7s left
[MM] bb=0.47 ba=0.48 | SELL@0.48 bought@0.47 PROFIT:+0.06 | bal=6.00 | 479.3s left
[SELL] cancelled 0x697cc2dafbec1b...
[SELL] SELL 6sh @ 0.47  oid=0x27188514f2fe485f9459efaf1a92780f896f3035afa311874b79e7172a5bf8c9
[MM] bb=0.46 ba=0.48 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 477.9s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 476.3s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 474.9s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 473.5s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 472.1s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 470.7s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 469.3s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 467.9s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 466.6s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 465.2s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 463.8s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 462.4s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 461.0s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 459.6s left
[MM] bb=0.46 ba=0.47 | SELL@0.47 bought@0.47 LOSS:+0.00 | bal=6.00 | 458.2s left
