[MM] Killing old instance PID 80431
[MM] Killing old instance PID 80467
[MM] === BTC 15-min Spread Scalper ===
[MM] UTC: 2026-03-31 02:50:21.200909+00:00
[MM] size=6.0  sell_deadline=+0s  poll=1.0s
[MM] Balance: $20.17
[MM] --- main loop #1 @ 02:50:22 UTC ---
[MM] Streak: 1x DN → enter 600s before start

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 11:00PM-11:15PM ET
[MM] start=2026-03-31T03:00:00+00:00  sell_deadline=+0s
[MM] Side: UP (bid depth UP=4540 vs DN=717)
[MM] Trading UP token=11847292330016590094...
[MM] Balance: $20.17
[MM] --- Round 1 (UP) ---
[BUY] BUY 6sh @ 0.46  oid=0x299c08a387bc85b95a537805654012f0dfb433100a7b2a943328d87435044071
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 572s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 570s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 561s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 552s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 550s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 541s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 532s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 530s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 521s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 512s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 501s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 492s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 490s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 481s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 471s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 462s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 460s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 451s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 442s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 440s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 431s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 422s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 420s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 411s to start
[MM] bb=0.46 ba=0.47 sp=0.01 | BUY@0.46 | bal=0.00 | 401s to start
