[LIVE] === BTC 15-min Fair-Value MM — LIVE TRADING ===
[LIVE] UTC: 2026-05-06 06:00:39.730113+00:00
[LIVE] size=7.0  poll=1.0s  maker-only  improve=0.0
[LIVE] No sell orders will be placed — user resolves manually
[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[LIVE] USDC balance: $147.11
[REDEEM] Relayer ready (PROXY tx type, key=019dd8ae...)
[LIVE] Current candle not confirmed (840s to start)
[LIVE] Current candle not confirmed (829s to start)
[LIVE] Current candle not confirmed (819s to start)
[LIVE] Current candle not confirmed (809s to start)
[LIVE] Current candle not confirmed (799s to start)
[LIVE] Current candle not confirmed (788s to start)
[LIVE] Current candle not confirmed (778s to start)
[LIVE] Current candle not confirmed (768s to start)
[LIVE] Current candle not confirmed (758s to start)
[LIVE] Current candle not confirmed (748s to start)
[LIVE] Current candle not confirmed (737s to start)
[LIVE] Current candle not confirmed (727s to start)
[LIVE] Current candle not confirmed (717s to start)
[LIVE] Current candle not confirmed (707s to start)
[LIVE] Current candle not confirmed (697s to start)
[LIVE] Current candle not confirmed (687s to start)
[LIVE] Current candle not confirmed (676s to start)
[LIVE] Current candle not confirmed (666s to start)
[LIVE] Current candle not confirmed (656s to start)
[LIVE] Current candle not confirmed (646s to start)
[LIVE] Current candle not confirmed (636s to start)
[LIVE] Current candle not confirmed (626s to start)
[LIVE] Current candle not confirmed (616s to start)
[LIVE] Current candle not confirmed (605s to start)
[LIVE] Current candle not confirmed (595s to start)
[LIVE] Current candle not confirmed (585s to start)
[LIVE] Current candle not confirmed (575s to start)
[LIVE] Current candle not confirmed (565s to start)
[LIVE] Current candle not confirmed (555s to start)
[LIVE] Current candle not confirmed (544s to start)
[LIVE] Current candle not confirmed (534s to start)
[LIVE] Current candle not confirmed (524s to start)
[LIVE] Current candle not confirmed (514s to start)
[LIVE] Current candle not confirmed (504s to start)
[LIVE] Current candle not confirmed (494s to start)
[LIVE] Current candle not confirmed (483s to start)
[LIVE] Current candle not confirmed (473s to start)
[LIVE] Current candle not confirmed (463s to start)
[LIVE] Current candle not confirmed (453s to start)
[LIVE] Current candle not confirmed (443s to start)
[LIVE] Current candle not confirmed (433s to start)
[LIVE] Current candle not confirmed (422s to start)
[LIVE] Current candle not confirmed (412s to start)
[LIVE] Current candle not confirmed (402s to start)
[LIVE] Current candle not confirmed (392s to start)
[LIVE] Current candle not confirmed (382s to start)
[LIVE] Current candle not confirmed (372s to start)
[LIVE] Current candle not confirmed (361s to start)
[LIVE] Current candle not confirmed (351s to start)
[LIVE] Current candle not confirmed (341s to start)
[LIVE] Current candle not confirmed (331s to start)
[LIVE] Current candle not confirmed (321s to start)
[LIVE] Current candle not confirmed (311s to start)
[LIVE] Current candle not confirmed (301s to start)
[LIVE] Current candle not confirmed (290s to start)
[LIVE] Current candle not confirmed (280s to start)
[FV] Current candle effectively DN (bid=0.95, 270s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 2:15AM-2:30AM ET
[LIVE] streak=1xDN  rsi=46.8
[LIVE] fair: UP=0.491 DN=0.509
[LIVE] target: UP@0.48 DN@0.50 (improve=0.0)
[LIVE] USDC: $152.11
[UP] BUY 7sh @ 0.48  oid=0x1dd8f2770eec46d7f0b8a484499f05099fa77345f9c266797b36f885d9dad7cc
[LIVE] UP placed @ 0.48  (target=0.48, best_ask=0.51)
[DN] BUY 7sh @ 0.49  oid=0x2310b6f57d81b71429943c894f539457810b9b462619a5a70e693a7174dc0018
[LIVE] DN placed @ 0.49  (target=0.50, best_ask=0.50) (improved)
[LIVE] UP:open@0.48 | DN:open@0.49 | 257s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 246s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 234s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 223s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 211s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 200s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 189s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 177s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 166s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 155s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 143s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 132s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 121s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 109s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 98s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 87s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 75s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 64s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 53s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 41s to start
[LIVE] UP:open@0.48 | DN:open@0.49 | 30s to start
[LIVE] DN FILLED @ 0.49
[LIVE] UP:open@0.48 | DN:FILLED@0.49 | 15s to start
[LIVE] UP:open@0.48 | DN:FILLED@0.49 | 4s to start
[UP] cancelled 0x1dd8f2770eec46...
[LIVE] candle done: DN@0.49
