[LIVE] === BTC 15-min Fair-Value MM — LIVE TRADING ===
[LIVE] UTC: 2026-05-06 10:33:48.793282+00:00
[LIVE] size=dynamic (min 5, +1 per $20 > $100)  poll=1.0s  maker-only  improve=0.0
[LIVE] No sell orders will be placed — user resolves manually
[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[LIVE] USDC balance: $172.86
[REDEEM] Relayer ready (PROXY tx type, key=019dd8ae...)
[LIVE] Current candle not confirmed (670s to start)
[LIVE] Current candle not confirmed (659s to start)
[LIVE] Current candle not confirmed (649s to start)
[LIVE] Current candle not confirmed (639s to start)
[LIVE] Current candle not confirmed (629s to start)
[LIVE] Current candle not confirmed (619s to start)
[LIVE] Current candle not confirmed (609s to start)
[LIVE] Current candle not confirmed (599s to start)
[LIVE] Current candle not confirmed (588s to start)
[LIVE] Current candle not confirmed (578s to start)
[LIVE] Current candle not confirmed (568s to start)
[LIVE] Current candle not confirmed (558s to start)
[LIVE] Current candle not confirmed (548s to start)
[LIVE] Current candle not confirmed (538s to start)
[LIVE] Current candle not confirmed (527s to start)
[LIVE] Current candle not confirmed (517s to start)
[LIVE] Current candle not confirmed (507s to start)
[LIVE] Current candle not confirmed (497s to start)
[LIVE] Current candle not confirmed (487s to start)
[LIVE] Current candle not confirmed (477s to start)
[LIVE] Current candle not confirmed (466s to start)
[LIVE] Current candle not confirmed (456s to start)
[LIVE] Current candle not confirmed (446s to start)
[LIVE] Current candle not confirmed (436s to start)
[LIVE] Current candle not confirmed (426s to start)
[LIVE] Current candle not confirmed (416s to start)
[LIVE] Current candle not confirmed (405s to start)
[LIVE] Current candle not confirmed (395s to start)
[LIVE] Current candle not confirmed (385s to start)
[LIVE] Current candle not confirmed (375s to start)
[LIVE] Current candle not confirmed (365s to start)
[LIVE] Current candle not confirmed (355s to start)
[LIVE] Current candle not confirmed (344s to start)
[LIVE] Current candle not confirmed (334s to start)
[LIVE] Current candle not confirmed (324s to start)
[LIVE] Current candle not confirmed (314s to start)
[LIVE] Current candle not confirmed (304s to start)
[LIVE] Current candle not confirmed (294s to start)
[LIVE] Current candle not confirmed (283s to start)
[LIVE] Current candle not confirmed (273s to start)
[LIVE] Current candle not confirmed (262s to start)
[LIVE] Current candle not confirmed (251s to start)
[LIVE] Current candle not confirmed (241s to start)
[LIVE] Current candle not confirmed (230s to start)
[LIVE] Current candle not confirmed (220s to start)
[LIVE] Current candle not confirmed (209s to start)
[LIVE] Current candle not confirmed (199s to start)
[LIVE] Current candle not confirmed (188s to start)
[LIVE] Current candle not confirmed (178s to start)
[LIVE] Current candle not confirmed (167s to start)
[LIVE] Current candle not confirmed (156s to start)
[FV] Current candle effectively UP (bid=0.95, 146s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 6:45AM-7:00AM ET
[LIVE] streak=3xUP  rsi=70.73
