[PAPER] === BTC 15-min Fair-Value MM — PAPER TRADING ===
[PAPER] UTC: 2026-04-07 05:34:42.331557+00:00
[PAPER] size=5.0  poll=1.0s
[PAPER] Balance: $161.15
[PAPER] Open positions: 1
[PAPER] btc-updown-15m-1775532600 DN → UP: LOSE pnl=$-2.75 bal=$161.15
[PAPER] Current candle not confirmed (615s to start)
[PAPER] Current candle not confirmed (604s to start)
[PAPER] Current candle not confirmed (594s to start)
[PAPER] Current candle not confirmed (583s to start)
[PAPER] Current candle not confirmed (573s to start)
[PAPER] Current candle not confirmed (563s to start)
[PAPER] Current candle not confirmed (552s to start)
[PAPER] Current candle not confirmed (542s to start)
[PAPER] Current candle not confirmed (531s to start)
[PAPER] Current candle not confirmed (521s to start)
[PAPER] Current candle not confirmed (511s to start)
[PAPER] Current candle not confirmed (500s to start)
[PAPER] Current candle not confirmed (490s to start)
[PAPER] Current candle not confirmed (479s to start)
[PAPER] Current candle not confirmed (469s to start)
[PAPER] Current candle not confirmed (458s to start)
[PAPER] Current candle not confirmed (448s to start)
[GAMMA] retry 1/3: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out.
[PAPER] Current candle not confirmed (425s to start)
[PAPER] Current candle not confirmed (415s to start)
[PAPER] Current candle not confirmed (404s to start)
[PAPER] Current candle not confirmed (394s to start)
[PAPER] Current candle not confirmed (384s to start)
[PAPER] Current candle not confirmed (373s to start)
[PAPER] Current candle not confirmed (363s to start)
[PAPER] Current candle not confirmed (352s to start)
[PAPER] Current candle not confirmed (342s to start)
[PAPER] Current candle not confirmed (332s to start)
[PAPER] Current candle not confirmed (321s to start)
[PAPER] Current candle not confirmed (311s to start)
[PAPER] Current candle not confirmed (300s to start)
[PAPER] Current candle not confirmed (290s to start)
[GAMMA] retry 1/3: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out.
[PAPER] Current candle not confirmed (278s to start)
[PAPER] Current candle not confirmed (254s to start)
[PAPER] Current candle not confirmed (243s to start)
[PAPER] Current candle not confirmed (231s to start)
[PAPER] Current candle not confirmed (219s to start)
[PAPER] Current candle not confirmed (208s to start)
[PAPER] Current candle not confirmed (196s to start)
[PAPER] Current candle not confirmed (184s to start)
[PAPER] Current candle not confirmed (173s to start)
[PAPER] Current candle not confirmed (161s to start)
[PAPER] Current candle not confirmed (149s to start)
[PAPER] Current candle not confirmed (138s to start)
[PAPER] Current candle not confirmed (126s to start)
[PAPER] Current candle not confirmed (114s to start)
[FV] Current candle effectively DN (bid=0.95, 103s left)

[PAPER] =======================================================
[PAPER] Bitcoin Up or Down - April 7, 1:45AM-2:00AM ET
[PAPER] streak=4xDN → base UP=52.8%
[PAPER] fair: UP=0.528 DN=0.472
[PAPER] max buy: UP@0.52 DN@0.46
[PAPER] balance: $161.15
[PAPER] BUY DN 5sh @ 0.46 (ask=0.46 <= max=0.46) cost=$2.30
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 87s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 76s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 65s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 53s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 42s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 31s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 19s to start
[PAPER] UP:waiting(max=0.52) | DN:FILLED@0.46 | 8s to start
[PAPER] DN FILLED @ 0.46 (fair=0.472, edge=0.01)
[PAPER] Balance: $158.85 | Positions: 1
[PAPER] Current candle not confirmed (839s to start)
